i,09/05/2018 16:50:27,Cosmos,g_pCosmosConfig is NULL,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsDefaultThreadPoolEx_CreateCb" SrcLine="1690" Pid="4844" Tid="4388" TS="0x01D445388C356CF4" String1="Using default value 100 for param DefaultThreadPoolTimerQueueDepthLogThreshold"
d,09/05/2018 16:50:27,Cosmos,ThreadPoolCreateThreadTimer,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::Initialize" SrcLine="143" Pid="4844" Tid="4388" TS="0x01D445388C356CF4" String1="pThreadPool=0000018EA7FDE810 TimerThreadId=408 uMaxThreadCount=16 uLogCallbackTimeMs=10000 uLogPoolQueueTimeMs=100 uLogPoolQueueDepth=100 uLogTimerQueueTimeMs=100 uLogTimerQueueDepth=100"
d,09/05/2018 16:50:27,Cosmos,ThreadPoolCreateThreadWorker,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::CreateNewThread" SrcLine="382" Pid="4844" Tid="4388" TS="0x01D445388C356CF4" String1="pThreadPool=0000018EA7FDE810 WorkerThreadId=4956 uCreatedThreadCount=1 uMaxThreadCount=16"
d,09/05/2018 16:50:27,Cosmos,ThreadPoolCreateThreadWorker,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::CreateNewThread" SrcLine="382" Pid="4844" Tid="4956" TS="0x01D445388C356CF4" String1="pThreadPool=0000018EA7FDE810 WorkerThreadId=5992 uCreatedThreadCount=2 uMaxThreadCount=16"
d,09/05/2018 16:50:27,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="4956" TS="0x01D445388C3593E6" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD83A0 Latency=0 StartedAt=131806398273383668 FinishedAt=131806398273383668"
d,09/05/2018 16:50:27,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="4956" TS="0x01D445388C3593E6" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD7FE0 Latency=0 StartedAt=131806398273393638 FinishedAt=131806398273393638"
d,09/05/2018 16:50:27,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="5992" TS="0x01D445388C3593E6" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD7FE0 Latency=0 StartedAt=131806398273393638 FinishedAt=131806398273393638"
d,09/05/2018 16:50:27,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="4956" TS="0x01D445388C3593E6" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD7F80 Latency=0 StartedAt=131806398273393638 FinishedAt=131806398273393638"
d,09/05/2018 16:50:27,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="5992" TS="0x01D445388C363071" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD7B60 Latency=0 StartedAt=131806398273433713 FinishedAt=131806398273433713"
d,09/05/2018 16:50:27,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="4956" TS="0x01D445388C367E4A" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD83A0 Latency=0 StartedAt=131806398273453642 FinishedAt=131806398273453642"
d,09/05/2018 16:50:27,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="5992" TS="0x01D445388C36F374" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD7F80 Latency=0 StartedAt=131806398273483636 FinishedAt=131806398273483636"
